a,b,expr,sum
166,644,166+644,810
453,932,453+932,1385
435,844,435+844,1279
133,676,133+676,809
382,116,382+116,498
480,600,480+600,1080
474,741,474+741,1215
220,616,220+616,836
127,567,127+567,694
817,308,817+308,1125
551,733,551+733,1284
5,154,5+154,159
373,182,373+182,555
514,969,514+969,1483
794,20,794+20,814
661,942,661+942,1603
843,473,843+473,1316
5,733,5+733,738
517,395,517+395,912
16,687,16+687,703
886,878,886+878,1764
597,147,597+147,744
418,36,418+36,454
550,558,550+558,1108
731,151,731+151,882
499,946,499+946,1445
342,899,342+899,1241
483,398,483+398,881
959,187,959+187,1146
161,65,161+65,226
645,442,645+442,1087
490,879,490+879,1369
331,742,331+742,1073
956,23,956+23,979
382,832,382+832,1214
297,620,297+620,917
237,361,237+361,598
383,912,383+912,1295
38,357,38+357,395
725,394,725+394,1119
952,528,952+528,1480
283,996,283+996,1279
478,825,478+825,1303
145,404,145+404,549
667,169,667+169,836
675,753,675+753,1428
952,405,952+405,1357
546,974,546+974,1520
744,254,744+254,998
69,844,69+844,913
476,920,476+920,1396
317,805,317+805,1122
166,707,166+707,873
937,649,937+649,1586
769,420,769+420,1189
614,502,614+502,1116
20,761,20+761,781
567,285,567+285,852
175,328,175+328,503
588,876,588+876,1464
795,846,795+846,1641
947,867,947+867,1814
73,333,73+333,406
261,491,261+491,752
977,492,977+492,1469
254,10,254+10,264
85,940,85+940,1025
220,57,220+57,277
686,593,686+593,1279
903,404,903+404,1307
670,841,670+841,1511
562,989,562+989,1551
70,584,70+584,654
452,139,452+139,591
81,251,81+251,332
693,203,693+203,896
763,633,763+633,1396
677,600,677+600,1277
251,694,251+694,945
542,823,542+823,1365
801,522,801+522,1323
173,190,173+190,363
362,49,362+49,411
62,500,62+500,562
340,171,340+171,511
445,515,445+515,960
15,887,15+887,902
215,449,215+449,664
1,358,1+358,359
298,54,298+54,352
808,579,808+579,1387
310,910,310+910,1220
948,235,948+235,1183
889,393,889+393,1282
990,705,990+705,1695
104,491,104+491,595
489,342,489+342,831
283,562,283+562,845
67,366,67+366,433
266,158,266+158,424
841,862,841+862,1703
151,745,151+745,896
994,24,994+24,1018
241,483,241+483,724
367,645,367+645,1012
213,712,213+712,925
201,564,201+564,765
274,511,274+511,785
881,752,881+752,1633
708,937,708+937,1645
57,752,57+752,809
756,630,756+630,1386
968,494,968+494,1462
874,224,874+224,1098
245,608,245+608,853
944,95,944+95,1039
575,114,575+114,689
370,964,370+964,1334
39,35,39+35,74
173,582,173+582,755
108,822,108+822,930
318,154,318+154,472
637,210,637+210,847
33,261,33+261,294
92,554,92+554,646
151,715,151+715,866
766,470,766+470,1236
402,71,402+71,473
606,196,606+196,802
698,303,698+303,1001
594,700,594+700,1294
333,501,333+501,834
752,548,752+548,1300
432,269,432+269,701
710,729,710+729,1439
352,137,352+137,489
128,808,128+808,936
949,898,949+898,1847
542,470,542+470,1012
365,448,365+448,813
13,26,13+26,39
829,774,829+774,1603
787,578,787+578,1365
102,969,102+969,1071
862,444,862+444,1306
379,515,379+515,894
299,645,299+645,944
379,53,379+53,432
262,529,262+529,791
604,36,604+36,640
469,63,469+63,532
700,937,700+937,1637
297,200,297+200,497
703,749,703+749,1452
381,877,381+877,1258
48,677,48+677,725
111,757,111+757,868
206,101,206+101,307
39,833,39+833,872
451,782,451+782,1233
293,968,293+968,1261
414,137,414+137,551
74,63,74+63,137
655,175,655+175,830
712,780,712+780,1492
592,770,592+770,1362
835,387,835+387,1222
453,63,453+63,516
171,281,171+281,452
485,178,485+178,663
524,709,524+709,1233
423,498,423+498,921
284,830,284+830,1114
658,774,658+774,1432
916,457,916+457,1373
283,603,283+603,886
99,714,99+714,813
549,449,549+449,998
745,64,745+64,809
418,608,418+608,1026
350,568,350+568,918
773,248,773+248,1021
198,597,198+597,795
543,419,543+419,962
608,561,608+561,1169
961,669,961+669,1630
474,883,474+883,1357
527,546,527+546,1073
511,714,511+714,1225
830,977,830+977,1807
877,855,877+855,1732
755,503,755+503,1258
916,512,916+512,1428
717,853,717+853,1570
708,324,708+324,1032
794,819,794+819,1613
554,766,554+766,1320
491,755,491+755,1246
894,190,894+190,1084
792,685,792+685,1477
194,538,194+538,732
857,572,857+572,1429
952,450,952+450,1402
837,237,837+237,1074
770,339,770+339,1109
808,874,808+874,1682
70,917,70+917,987
754,956,754+956,1710
161,407,161+407,568
789,100,789+100,889
262,212,262+212,474
228,394,228+394,622
550,866,550+866,1416
379,891,379+891,1270
567,346,567+346,913
259,21,259+21,280
884,507,884+507,1391
646,252,646+252,898
288,64,288+64,352
593,614,593+614,1207
688,999,688+999,1687
830,197,830+197,1027
163,177,163+177,340
710,756,710+756,1466
468,142,468+142,610
41,416,41+416,457
232,38,232+38,270
441,567,441+567,1008
400,241,400+241,641
501,712,501+712,1213
841,857,841+857,1698
975,29,975+29,1004
304,547,304+547,851
832,635,832+635,1467
181,273,181+273,454
716,911,716+911,1627
189,784,189+784,973
828,137,828+137,965
