a,b,expr,sum
294,154,294+154,448
30,61,30+61,91
239,669,239+669,908
609,425,609+425,1034
305,875,305+875,1180
378,432,378+432,810
408,569,408+569,977
406,842,406+842,1248
67,916,67+916,983
465,731,465+731,1196
854,187,854+187,1041
68,305,68+305,373
736,180,736+180,916
320,268,320+268,588
387,283,387+283,670
634,984,634+984,1618
775,780,775+780,1555
545,818,545+818,1363
207,460,207+460,667
943,625,943+625,1568
338,129,338+129,467
919,46,919+46,965
498,255,498+255,753
47,961,47+961,1008
962,426,962+426,1388
824,861,824+861,1685
154,896,154+896,1050
872,625,872+625,1497
183,998,183+998,1181
46,822,46+822,868
990,217,990+217,1207
968,154,968+154,1122
942,62,942+62,1004
503,308,503+308,811
824,254,824+254,1078
109,354,109+354,463
237,394,237+394,631
67,735,67+735,802
412,261,412+261,673
217,93,217+93,310
337,802,337+802,1139
881,335,881+335,1216
675,740,675+740,1415
702,78,702+78,780
879,590,879+590,1469
390,38,390+38,428
223,933,223+933,1156
907,593,907+593,1500
374,376,374+376,750
505,268,505+268,773
112,171,112+171,283
311,809,311+809,1120
142,368,142+368,510
271,408,271+408,679
991,848,991+848,1839
897,39,897+39,936
395,567,395+567,962
328,295,328+295,623
443,997,443+997,1440
281,889,281+889,1170
184,714,184+714,898
782,747,782+747,1529
761,695,761+695,1456
405,91,405+91,496
405,699,405+699,1104
454,691,454+691,1145
706,724,706+724,1430
113,359,113+359,472
519,945,519+945,1464
136,376,136+376,512
382,414,382+414,796
518,202,518+202,720
465,621,465+621,1086
375,488,375+488,863
117,99,117+99,216
269,973,269+973,1242
715,107,715+107,822
422,850,422+850,1272
487,630,487+630,1117
594,477,594+477,1071
33,365,33+365,398
225,863,225+863,1088
492,326,492+326,818
108,848,108+848,956
75,912,75+912,987
293,260,293+260,553
203,650,203+650,853
950,19,950+19,969
477,440,477+440,917
880,16,880+16,896
378,50,378+50,428
411,180,411+180,591
28,881,28+881,909
550,264,550+264,814
706,436,706+436,1142
493,542,493+542,1035
909,325,909+325,1234
266,431,266+431,697
203,105,203+105,308
450,306,450+306,756
604,758,604+758,1362
199,913,199+913,1112
581,462,581+462,1043
968,143,968+143,1111
352,624,352+624,976
138,108,138+108,246
71,24,71+24,95
5,276,5+276,281
242,551,242+551,793
316,812,316+812,1128
954,440,954+440,1394
942,502,942+502,1444
125,544,125+544,669
774,542,774+542,1316
747,559,747+559,1306
429,398,429+398,827
403,143,403+143,546
733,92,733+92,825
838,416,838+416,1254
991,28,991+28,1019
50,993,50+993,1043
342,254,342+254,596
633,60,633+60,693
749,255,749+255,1004
444,108,444+108,552
506,580,506+580,1086
522,141,522+141,663
338,583,338+583,921
232,122,232+122,354
399,526,399+526,925
356,768,356+768,1124
218,742,218+742,960
676,697,676+697,1373
94,32,94+32,126
861,76,861+76,937
740,551,740+551,1291
652,593,652+593,1245
959,492,959+492,1451
234,366,234+366,600
491,303,491+303,794
434,138,434+138,572
162,7,162+7,169
905,118,905+118,1023
445,50,445+50,495
82,710,82+710,792
766,313,766+313,1079
842,801,842+801,1643
182,94,182+94,276
549,791,549+791,1340
805,612,805+612,1417
785,946,785+946,1731
512,283,512+283,795
420,517,420+517,937
727,446,727+446,1173
115,185,115+185,300
798,125,798+125,923
58,843,58+843,901
320,181,320+181,501
602,359,602+359,961
155,395,155+395,550
298,218,298+218,516
379,124,379+124,503
522,962,522+962,1484
715,772,715+772,1487
16,83,16+83,99
921,857,921+857,1778
813,515,813+515,1328
597,940,597+940,1537
514,808,514+808,1322
115,461,115+461,576
766,479,766+479,1245
686,786,686+786,1472
790,73,790+73,863
290,60,290+60,350
801,771,801+771,1572
477,417,477+417,894
958,275,958+275,1233
682,170,682+170,852
301,745,301+745,1046
384,199,384+199,583
444,97,444+97,541
618,814,618+814,1432
813,591,813+591,1404
512,641,512+641,1153
233,57,233+57,290
63,294,63+294,357
726,109,726+109,835
640,305,640+305,945
644,579,644+579,1223
925,97,925+97,1022
16,36,16+36,52
377,157,377+157,534
643,578,643+578,1221
603,822,603+822,1425
986,437,986+437,1423
692,278,692+278,970
935,76,935+76,1011
500,280,500+280,780
755,988,755+988,1743
933,807,933+807,1740
817,708,817+708,1525
261,55,261+55,316
609,635,609+635,1244
368,125,368+125,493
657,746,657+746,1403
619,26,619+26,645
292,869,292+869,1161
267,657,267+657,924
695,355,695+355,1050
751,828,751+828,1579
711,909,711+909,1620
696,789,696+789,1485
77,841,77+841,918
226,427,226+427,653
381,252,381+252,633
13,701,13+701,714
466,130,466+130,596
914,660,914+660,1574
106,813,106+813,919
76,259,76+259,335
117,21,117+21,138
213,418,213+418,631
482,819,482+819,1301
778,77,778+77,855
679,574,679+574,1253
145,959,145+959,1104
334,464,334+464,798
413,872,413+872,1285
719,783,719+783,1502
677,206,677+206,883
229,412,229+412,641
124,18,124+18,142
381,841,381+841,1222
538,742,538+742,1280
146,603,146+603,749
394,833,394+833,1227
692,838,692+838,1530
289,416,289+416,705
672,728,672+728,1400
291,144,291+144,435
313,727,313+727,1040
641,101,641+101,742
58,219,58+219,277
483,844,483+844,1327
49,997,49+997,1046
335,275,335+275,610
843,159,843+159,1002
329,832,329+832,1161
757,775,757+775,1532
495,533,495+533,1028
883,885,883+885,1768
868,659,868+659,1527
395,548,395+548,943
605,344,605+344,949
383,202,383+202,585
912,147,912+147,1059
759,344,759+344,1103
420,150,420+150,570
146,971,146+971,1117
331,28,331+28,359
754,714,754+714,1468
886,252,886+252,1138
816,327,816+327,1143
402,822,402+822,1224
282,367,282+367,649
801,132,801+132,933
877,471,877+471,1348
550,182,550+182,732
360,999,360+999,1359
289,878,289+878,1167
974,327,974+327,1301
999,289,999+289,1288
555,151,555+151,706
609,227,609+227,836
62,787,62+787,849
320,702,320+702,1022
428,606,428+606,1034
444,179,444+179,623
791,362,791+362,1153
333,420,333+420,753
958,12,958+12,970
43,614,43+614,657
991,9,991+9,1000
941,749,941+749,1690
400,306,400+306,706
193,260,193+260,453
756,421,756+421,1177
921,946,921+946,1867
92,752,92+752,844
424,129,424+129,553
920,102,920+102,1022
865,550,865+550,1415
925,715,925+715,1640
801,995,801+995,1796
928,989,928+989,1917
924,45,924+45,969
6,890,6+890,896
158,992,158+992,1150
129,270,129+270,399
449,558,449+558,1007
192,722,192+722,914
98,432,98+432,530
138,788,138+788,926
109,996,109+996,1105
605,150,605+150,755
322,487,322+487,809
603,438,603+438,1041
85,697,85+697,782
848,331,848+331,1179
668,933,668+933,1601
825,609,825+609,1434
629,128,629+128,757
250,535,250+535,785
817,379,817+379,1196
857,980,857+980,1837
971,679,971+679,1650
639,691,639+691,1330
814,524,814+524,1338
382,24,382+24,406
380,945,380+945,1325
902,315,902+315,1217
876,277,876+277,1153
568,449,568+449,1017
514,259,514+259,773
557,822,557+822,1379
833,604,833+604,1437
549,112,549+112,661
824,295,824+295,1119
812,619,812+619,1431
611,361,611+361,972
376,574,376+574,950
682,161,682+161,843
968,882,968+882,1850
532,193,532+193,725
821,543,821+543,1364
716,910,716+910,1626
611,799,611+799,1410
572,419,572+419,991
131,969,131+969,1100
735,292,735+292,1027
551,872,551+872,1423
201,820,201+820,1021
969,106,969+106,1075
560,141,560+141,701
504,761,504+761,1265
472,851,472+851,1323
61,145,61+145,206
523,919,523+919,1442
122,319,122+319,441
828,123,828+123,951
12,371,12+371,383
290,319,290+319,609
676,101,676+101,777
379,174,379+174,553
786,327,786+327,1113
195,12,195+12,207
574,380,574+380,954
332,587,332+587,919
548,994,548+994,1542
192,392,192+392,584
536,397,536+397,933
578,268,578+268,846
506,992,506+992,1498
173,385,173+385,558
507,402,507+402,909
170,656,170+656,826
806,937,806+937,1743
60,45,60+45,105
790,835,790+835,1625
205,505,205+505,710
361,548,361+548,909
66,135,66+135,201
906,808,906+808,1714
28,828,28+828,856
502,324,502+324,826
131,675,131+675,806
719,467,719+467,1186
623,690,623+690,1313
186,158,186+158,344
411,273,411+273,684
745,63,745+63,808
562,798,562+798,1360
331,424,331+424,755
305,793,305+793,1098
857,665,857+665,1522
368,76,368+76,444
921,403,921+403,1324
310,891,310+891,1201
931,721,931+721,1652
914,252,914+252,1166
281,296,281+296,577
720,941,720+941,1661
190,139,190+139,329
891,5,891+5,896
512,576,512+576,1088
534,316,534+316,850
861,740,861+740,1601
206,292,206+292,498
621,435,621+435,1056
496,115,496+115,611
686,175,686+175,861
104,572,104+572,676
436,990,436+990,1426
286,574,286+574,860
730,238,730+238,968
607,681,607+681,1288
380,401,380+401,781
960,601,960+601,1561
784,147,784+147,931
400,600,400+600,1000
210,700,210+700,910
446,213,446+213,659
323,916,323+916,1239
122,46,122+46,168
974,489,974+489,1463
273,367,273+367,640
371,917,371+917,1288
917,877,917+877,1794
448,563,448+563,1011
602,240,602+240,842
885,643,885+643,1528
225,522,225+522,747
97,849,97+849,946
310,574,310+574,884
651,40,651+40,691
497,614,497+614,1111
154,34,154+34,188
211,492,211+492,703
837,759,837+759,1596
227,404,227+404,631
139,484,139+484,623
109,697,109+697,806
724,246,724+246,970
664,963,664+963,1627
887,490,887+490,1377
413,533,413+533,946
214,310,214+310,524
77,944,77+944,1021
196,227,196+227,423
744,312,744+312,1056
804,381,804+381,1185
22,8,22+8,30
245,159,245+159,404
942,813,942+813,1755
198,502,198+502,700
887,114,887+114,1001
535,497,535+497,1032
291,498,291+498,789
416,797,416+797,1213
184,892,184+892,1076
476,555,476+555,1031
212,177,212+177,389
728,224,728+224,952
649,323,649+323,972
216,711,216+711,927
74,748,74+748,822
913,214,913+214,1127
88,3,88+3,91
140,544,140+544,684
549,561,549+561,1110
957,815,957+815,1772
875,851,875+851,1726
253,231,253+231,484
12,454,12+454,466
474,85,474+85,559
404,712,404+712,1116
531,408,531+408,939
247,639,247+639,886
90,7,90+7,97
885,571,885+571,1456
369,233,369+233,602
274,294,274+294,568
118,510,118+510,628
826,897,826+897,1723
512,315,512+315,827
857,753,857+753,1610
160,154,160+154,314
935,322,935+322,1257
814,737,814+737,1551
739,892,739+892,1631
411,849,411+849,1260
463,694,463+694,1157
302,747,302+747,1049
888,63,888+63,951
790,267,790+267,1057
712,958,712+958,1670
470,436,470+436,906
454,653,454+653,1107
384,755,384+755,1139
71,60,71+60,131
911,395,911+395,1306
749,762,749+762,1511
525,724,525+724,1249
130,460,130+460,590
362,911,362+911,1273
806,314,806+314,1120
313,894,313+894,1207
795,695,795+695,1490
107,794,107+794,901
722,961,722+961,1683
762,451,762+451,1213
760,442,760+442,1202
124,68,124+68,192
313,150,313+150,463
300,88,300+88,388
969,364,969+364,1333
926,202,926+202,1128
153,743,153+743,896
949,732,949+732,1681
936,335,936+335,1271
800,565,800+565,1365
893,564,893+564,1457
300,381,300+381,681
920,622,920+622,1542
118,314,118+314,432
563,853,563+853,1416
375,986,375+986,1361
140,238,140+238,378
498,904,498+904,1402
286,445,286+445,731
169,424,169+424,593
656,715,656+715,1371
271,619,271+619,890
154,917,154+917,1071
991,403,991+403,1394
184,283,184+283,467
496,970,496+970,1466
792,148,792+148,940
262,401,262+401,663
741,301,741+301,1042
329,394,329+394,723
765,434,765+434,1199
60,590,60+590,650
427,601,427+601,1028
489,806,489+806,1295
253,697,253+697,950
261,19,261+19,280
915,602,915+602,1517
158,538,158+538,696
423,131,423+131,554
488,996,488+996,1484
564,484,564+484,1048
552,521,552+521,1073
331,880,331+880,1211
981,13,981+13,994
754,856,754+856,1610
736,569,736+569,1305
159,780,159+780,939
413,815,413+815,1228
55,839,55+839,894
379,136,379+136,515
116,521,116+521,637
508,663,508+663,1171
344,636,344+636,980
454,78,454+78,532
244,627,244+627,871
381,327,381+327,708
253,181,253+181,434
184,613,184+613,797
841,721,841+721,1562
938,7,938+7,945
421,404,421+404,825
703,60,703+60,763
961,801,961+801,1762
201,107,201+107,308
199,625,199+625,824
872,925,872+925,1797
913,676,913+676,1589
279,44,279+44,323
433,428,433+428,861
511,146,511+146,657
642,708,642+708,1350
967,181,967+181,1148
729,588,729+588,1317
653,521,653+521,1174
406,90,406+90,496
453,237,453+237,690
999,155,999+155,1154
363,289,363+289,652
128,706,128+706,834
978,132,978+132,1110
807,757,807+757,1564
117,133,117+133,250
266,327,266+327,593
270,858,270+858,1128
46,805,46+805,851
212,382,212+382,594
294,459,294+459,753
889,593,889+593,1482
21,151,21+151,172
16,106,16+106,122
230,882,230+882,1112
375,28,375+28,403
568,741,568+741,1309
724,416,724+416,1140
894,64,894+64,958
538,849,538+849,1387
620,961,620+961,1581
794,364,794+364,1158
322,235,322+235,557
681,388,681+388,1069
89,601,89+601,690
103,885,103+885,988
429,60,429+60,489
247,514,247+514,761
824,403,824+403,1227
761,826,761+826,1587
870,446,870+446,1316
417,769,417+769,1186
864,370,864+370,1234
751,591,751+591,1342
895,208,895+208,1103
750,212,750+212,962
635,52,635+52,687
761,467,761+467,1228
579,1,579+1,580
126,777,126+777,903
173,799,173+799,972
703,397,703+397,1100
879,806,879+806,1685
149,313,149+313,462
379,34,379+34,413
386,328,386+328,714
356,259,356+259,615
171,228,171+228,399
513,297,513+297,810
842,276,842+276,1118
209,250,209+250,459
246,973,246+973,1219
279,648,279+648,927
195,745,195+745,940
717,997,717+997,1714
843,82,843+82,925
627,995,627+995,1622
893,567,893+567,1460
366,824,366+824,1190
774,853,774+853,1627
535,669,535+669,1204
310,602,310+602,912
244,10,244+10,254
720,137,720+137,857
822,753,822+753,1575
730,391,730+391,1121
389,762,389+762,1151
833,918,833+918,1751
806,578,806+578,1384
948,923,948+923,1871
667,683,667+683,1350
480,332,480+332,812
881,632,881+632,1513
499,59,499+59,558
635,485,635+485,1120
980,196,980+196,1176
594,262,594+262,856
623,128,623+128,751
422,321,422+321,743
232,400,232+400,632
809,852,809+852,1661
755,400,755+400,1155
985,960,985+960,1945
445,961,445+961,1406
132,441,132+441,573
432,975,432+975,1407
580,900,580+900,1480
476,37,476+37,513
191,260,191+260,451
868,338,868+338,1206
95,59,95+59,154
236,880,236+880,1116
879,167,879+167,1046
466,370,466+370,836
137,626,137+626,763
270,546,270+546,816
119,672,119+672,791
693,253,693+253,946
944,143,944+143,1087
911,939,911+939,1850
78,693,78+693,771
540,509,540+509,1049
718,554,718+554,1272
711,992,711+992,1703
892,362,892+362,1254
758,219,758+219,977
4,721,4+721,725
289,402,289+402,691
14,839,14+839,853
465,570,465+570,1035
617,798,617+798,1415
915,238,915+238,1153
434,539,434+539,973
