2026-02-07 15:24:44,077 | INFO | Epoch 1/12 | train_loss=7.1874 | val_loss=6.7217 | train_accuracy=0.0016 | val_accuracy=0.0033
2026-02-07 15:24:45,549 | INFO | Epoch 2/12 | train_loss=6.3044 | val_loss=5.8796 | train_accuracy=0.0087 | val_accuracy=0.0154
2026-02-07 15:24:46,989 | INFO | Epoch 3/12 | train_loss=5.1970 | val_loss=4.7899 | train_accuracy=0.0421 | val_accuracy=0.0578
2026-02-07 15:24:48,456 | INFO | Epoch 4/12 | train_loss=4.1713 | val_loss=3.9820 | train_accuracy=0.1095 | val_accuracy=0.1202
2026-02-07 15:24:49,863 | INFO | Epoch 5/12 | train_loss=3.4054 | val_loss=3.3738 | train_accuracy=0.2015 | val_accuracy=0.2126
2026-02-07 15:24:51,323 | INFO | Epoch 6/12 | train_loss=2.8329 | val_loss=2.9230 | train_accuracy=0.3005 | val_accuracy=0.3096
2026-02-07 15:24:52,802 | INFO | Epoch 7/12 | train_loss=2.4176 | val_loss=2.6035 | train_accuracy=0.3896 | val_accuracy=0.3849
2026-02-07 15:24:54,224 | INFO | Epoch 8/12 | train_loss=2.1215 | val_loss=2.3906 | train_accuracy=0.4531 | val_accuracy=0.4456
2026-02-07 15:24:55,687 | INFO | Epoch 9/12 | train_loss=1.8914 | val_loss=2.2189 | train_accuracy=0.5039 | val_accuracy=0.4894
2026-02-07 15:24:57,112 | INFO | Epoch 10/12 | train_loss=1.7189 | val_loss=2.0967 | train_accuracy=0.5435 | val_accuracy=0.5249
2026-02-07 15:24:58,541 | INFO | Epoch 11/12 | train_loss=1.5656 | val_loss=1.9824 | train_accuracy=0.5796 | val_accuracy=0.5520
2026-02-07 15:24:59,985 | INFO | Epoch 12/12 | train_loss=1.4426 | val_loss=1.8870 | train_accuracy=0.6090 | val_accuracy=0.5862
2026-04-28 19:13:12,655 | INFO | Epoch 1/12 | train_loss=7.1873 | val_loss=6.7207 | train_accuracy=0.0017 | val_accuracy=0.0032
2026-04-28 19:13:13,620 | INFO | Epoch 2/12 | train_loss=6.3022 | val_loss=5.8716 | train_accuracy=0.0089 | val_accuracy=0.0161
2026-04-28 19:13:18,166 | INFO | Epoch 3/12 | train_loss=5.2059 | val_loss=4.8316 | train_accuracy=0.0406 | val_accuracy=0.0547
2026-04-28 19:13:19,152 | INFO | Epoch 4/12 | train_loss=4.2081 | val_loss=4.0035 | train_accuracy=0.1058 | val_accuracy=0.1196
2026-04-28 19:13:20,053 | INFO | Epoch 5/12 | train_loss=3.4114 | val_loss=3.3719 | train_accuracy=0.1997 | val_accuracy=0.2101
2026-04-28 19:13:21,079 | INFO | Epoch 6/12 | train_loss=2.8272 | val_loss=2.9165 | train_accuracy=0.2982 | val_accuracy=0.3028
2026-04-28 19:13:21,980 | INFO | Epoch 7/12 | train_loss=2.4118 | val_loss=2.5909 | train_accuracy=0.3852 | val_accuracy=0.3832
2026-04-28 19:13:23,048 | INFO | Epoch 8/12 | train_loss=2.1143 | val_loss=2.3822 | train_accuracy=0.4502 | val_accuracy=0.4357
2026-04-28 19:13:24,053 | INFO | Epoch 9/12 | train_loss=1.8906 | val_loss=2.2244 | train_accuracy=0.4983 | val_accuracy=0.4787
2026-04-28 19:13:25,333 | INFO | Epoch 10/12 | train_loss=1.7234 | val_loss=2.1092 | train_accuracy=0.5353 | val_accuracy=0.5099
2026-04-28 19:13:26,475 | INFO | Epoch 11/12 | train_loss=1.5789 | val_loss=2.0023 | train_accuracy=0.5678 | val_accuracy=0.5373
2026-04-28 19:13:27,750 | INFO | Epoch 12/12 | train_loss=1.4591 | val_loss=1.9162 | train_accuracy=0.5974 | val_accuracy=0.5564
2026-04-28 22:55:11,335 | INFO | Epoch 1/12 | train_loss=7.1873 | val_loss=6.7207 | train_accuracy=0.0017 | val_accuracy=0.0032
2026-04-28 22:55:12,360 | INFO | Epoch 2/12 | train_loss=6.3022 | val_loss=5.8716 | train_accuracy=0.0089 | val_accuracy=0.0161
2026-04-28 22:55:13,259 | INFO | Epoch 3/12 | train_loss=5.2059 | val_loss=4.8316 | train_accuracy=0.0406 | val_accuracy=0.0547
2026-04-28 22:55:14,303 | INFO | Epoch 4/12 | train_loss=4.2081 | val_loss=4.0035 | train_accuracy=0.1058 | val_accuracy=0.1196
2026-04-28 22:55:15,416 | INFO | Epoch 5/12 | train_loss=3.4114 | val_loss=3.3719 | train_accuracy=0.1997 | val_accuracy=0.2101
2026-04-28 22:55:16,464 | INFO | Epoch 6/12 | train_loss=2.8272 | val_loss=2.9165 | train_accuracy=0.2982 | val_accuracy=0.3028
2026-04-28 22:55:17,478 | INFO | Epoch 7/12 | train_loss=2.4118 | val_loss=2.5909 | train_accuracy=0.3852 | val_accuracy=0.3832
2026-04-28 22:55:18,535 | INFO | Epoch 8/12 | train_loss=2.1143 | val_loss=2.3822 | train_accuracy=0.4502 | val_accuracy=0.4357
2026-04-28 22:55:19,663 | INFO | Epoch 9/12 | train_loss=1.8906 | val_loss=2.2244 | train_accuracy=0.4983 | val_accuracy=0.4787
2026-04-28 22:55:20,776 | INFO | Epoch 10/12 | train_loss=1.7234 | val_loss=2.1092 | train_accuracy=0.5353 | val_accuracy=0.5099
2026-04-28 22:55:21,994 | INFO | Epoch 11/12 | train_loss=1.5789 | val_loss=2.0023 | train_accuracy=0.5678 | val_accuracy=0.5373
2026-04-28 22:55:23,573 | INFO | Epoch 12/12 | train_loss=1.4591 | val_loss=1.9162 | train_accuracy=0.5974 | val_accuracy=0.5564
